,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Liveness,Length.,Popularity
1,Señorita,Shawn Mendes,canadian pop,117,55,76,8,191,79
2,China,Anuel AA,reggaeton flow,105,81,79,8,302,92
3,boyfriend,Ariana Grande,dance pop,190,80,40,16,186,85
4,Beautiful People,Ed Sheeran,pop,93,65,64,8,198,86
5,Goodbyes,Post Malone,dfw rap,150,65,58,11,175,94
6,I Don't Care,Ed Sheeran,pop,102,68,80,9,220,84
7,Ransom,Lil Tecca,trap music,180,64,75,7,131,92
8,How Do You Sleep?,Sam Smith,pop,111,68,48,8,202,90
9,Old Town Road,Lil Nas X,country rap,136,62,88,11,157,87
10,bad guy,Billie Eilish,electropop,135,43,70,10,194,95
11,Callaita,Bad Bunny,reggaeton,176,62,61,24,251,93
12,Loco Contigo,DJ Snake,dance pop,96,71,82,15,185,86
13,Someone You Loved,Lewis Capaldi,pop,110,41,50,11,182,88
14,Otro Trago,Sech,panamanian pop,176,79,73,6,288,87
15,Money In The Grave,Drake,canadian hip hop,101,50,83,12,205,92
16,No Guidance,Chris Brown,dance pop,93,45,70,16,261,82
17,LA CANCIÓN,J Balvin,latin,176,65,75,11,243,90
18,Sunflower,Post Malone,dfw rap,90,48,76,7,158,91
19,Lalala,Y2K,canadian hip hop,130,39,84,14,161,88
20,Truth Hurts,Lizzo,escape room,158,62,72,12,173,91
21,Piece Of Your Heart,MEDUZA,pop house,124,74,68,7,153,91
22,Panini,Lil Nas X,country rap,154,59,70,12,115,91
23,No Me Conoce,Jhay Cortez,reggaeton flow,92,79,81,9,309,83
24,Soltera,Lunay,latin,92,78,80,44,266,91
25,bad guy,Billie Eilish,electropop,135,45,67,12,195,89
26,If I Can't Have You,Shawn Mendes,canadian pop,124,82,69,13,191,70
27,Dance Monkey,Tones and I,australian pop,98,59,82,18,210,83
28,It's You,Ali Gatie,canadian hip hop,96,46,73,19,213,89
29,Con Calma,Daddy Yankee,latin,94,86,74,6,193,91
30,QUE PRETENDES,J Balvin,latin,93,79,64,36,222,89
31,Takeaway,The Chainsmokers,edm,85,51,29,10,210,84
32,7 rings,Ariana Grande,dance pop,140,32,78,9,179,89
33,11 PM,Maluma,reggaeton,96,71,78,9,176,89
34,The London,Young Thug,atl hip hop,98,59,80,13,200,89
35,Never Really Over,Katy Perry,dance pop,100,88,77,32,224,89
36,Summer Days,Martin Garrix,big room,114,72,66,14,164,89
37,Otro Trago,Sech,panamanian pop,176,70,75,11,226,91
38,Antisocial,Ed Sheeran,pop,152,82,72,36,162,87
39,Sucker,Jonas Brothers,boy band,138,73,84,11,181,80
40,"Oh No, i'm lonely",Lauv,dance pop,95,56,81,6,199,78
41,Higher Love,Kygo,edm,104,68,69,10,228,88
42,You Need To Calm Down,Taylor Swift,dance pop,85,68,77,7,171,90
43,Shallow,Lady Gaga,dance pop,96,39,57,23,216,87
44,Talk,Khalid,pop,136,40,90,6,198,84
45,Con Altura,ROSALÍA,r&b en espanol,98,69,88,5,162,88
46,One Thing Right,Marshmello,brostep,88,62,66,58,182,88
47,Te Robaré,Nicky Jam,latin,176,75,67,8,202,88
48,Happier,Marshmello,brostep,100,79,69,17,214,88
49,Call You Mine,The Chainsmokers,edm,104,70,59,41,218,88
50,Cross Me,Ed Sheeran,pop,95,79,75,7,206,82
